City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
106,Saint-Francois,FR,2021-02-06 03:48:48,46.4154,3.9054,279.82,100,90,1.54
107,Isangel,VU,2021-02-06 03:49:14,-19.55,169.2667,302.41,64,9,1.32
108,Amos,CA,2021-02-06 03:49:14,48.5669,-78.1162,268.15,80,90,6.69
109,Tuy Hoa,VN,2021-02-06 03:49:14,13.0833,109.3,297.1,79,75,5.54
110,Mustasaari,FI,2021-02-06 03:49:15,63.1142,21.6822,265.37,92,0,2.06
111,Tartu,EE,2021-02-06 03:49:15,58.3806,26.7251,255.93,84,87,3.09
112,Norman Wells,CA,2021-02-06 03:45:41,65.282,-126.8329,233.15,67,40,1.03
113,Port Blair,IN,2021-02-06 03:46:15,11.6667,92.75,301.34,65,0,5.41
114,Butaritari,KI,2021-02-06 03:45:40,3.0707,172.7902,300.33,82,38,8.43
115,Klaksvik,FO,2021-02-06 03:49:15,62.2266,-6.589,273.15,86,75,9.26
116,Kralendijk,BQ,2021-02-06 03:49:15,12.15,-68.2667,299.15,78,65,6.17
117,Batemans Bay,AU,2021-02-06 03:49:15,-35.7167,150.1833,303.71,44,82,0.89
118,Freeport,US,2021-02-06 03:48:38,40.6576,-73.5832,277.59,81,1,3.6
119,Praid,RO,2021-02-06 03:49:15,46.55,25.1333,277.15,93,90,1.03
120,Coffs Harbour,AU,2021-02-06 03:49:16,-30.3,153.1333,302.59,69,80,8.75
121,Saldanha,ZA,2021-02-06 03:49:16,-33.0117,17.9442,290.15,94,0,3.6
122,Tasiilaq,GL,2021-02-06 03:45:10,65.6145,-37.6368,270.15,68,90,2.57
123,Ankazoabo,MG,2021-02-06 03:49:16,-22.2833,44.5167,297.03,83,100,1.27
124,Chapais,CA,2021-02-06 03:45:33,49.7834,-74.8492,269.15,86,90,5.66
125,Port Alfred,ZA,2021-02-06 03:45:26,-33.5906,26.891,294.82,92,100,6.26
126,Bengkulu,ID,2021-02-06 03:49:16,-3.8004,102.2655,303.76,56,67,2.35
127,Bonoua,CI,2021-02-06 03:49:16,5.2741,-3.595,297.15,94,20,0.51
128,Lagoa,PT,2021-02-06 03:49:16,39.05,-27.9833,287.83,84,87,7.98
129,Fort Smith,US,2021-02-06 03:49:16,35.3859,-94.3986,279.26,60,1,1.54
130,Disna,BY,2021-02-06 03:49:16,55.568,28.1971,253.8,92,70,3.11
131,Mount Gambier,AU,2021-02-06 03:49:17,-37.8333,140.7667,293.15,60,75,8.75
132,Touros,BR,2021-02-06 03:45:59,-5.1989,-35.4608,296.15,88,0,1.03
133,Tura,IN,2021-02-06 03:46:14,25.5198,90.2201,297.47,33,0,0.98
134,Broome,US,2021-02-06 03:49:17,42.2506,-75.833,271.15,46,75,8.23
